,,Codigo,Nome,CNPJ
[CYCR11](https://fiibrasil.com/fundo/CYCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CYCR11.jpg)</span>",CYCR11,CYRELA CRÉDITO FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.233/0001-15
[CYLD11](https://fiibrasil.com/fundo/CYLD11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/CYLD11.jpg)</span>",CYLD11,CYRELA DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO,43.010.601/0001-98
[DAMT11B](https://fiibrasil.com/fundo/DAMT11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/DAMT11B.jpg)</span>",DAMT11B,DIAMANTE FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.642.727/0001-66
[DEVA11](https://fiibrasil.com/fundo/DEVA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/DEVA11-DEVANT-RECEBIVEIS-IMOBILIARIOS.jpg)</span>",DEVA11,DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.087.810/0001-37
[DLMT11](https://fiibrasil.com/fundo/DLMT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/DLMT11.jpg)</span>",DLMT11,DEL MONTE AJAX FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.108.193/0001-18
[DOVL11B](https://fiibrasil.com/fundo/DOVL11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/DOVL11B.jpg)</span>",DOVL11B,DOVEL FUNDO DE INVESTIMENTO IMOBILIÁRIO,10.522.648/0001-81
[DPRO11](https://fiibrasil.com/fundo/DPRO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/DPRO11.jpg)</span>",DPRO11,DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.922.127/0001-08
[DRIT11B](https://fiibrasil.com/fundo/DRIT11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/DRIT11-1.jpg)</span>",DRIT11B,MULTIGESTÃO RENDA COMERCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,10.456.810/0001-00
[DVFF11](https://fiibrasil.com/fundo/DVFF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/DVFF11.jpg)</span>",DVFF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVANT FUNDO DE FUNDOS IMOBILIÁRIOS,39.863.059/0001-49
[EDFO11B](https://fiibrasil.com/fundo/EDFO11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/EDFO11B.jpg)</span>",EDFO11B,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST,06.175.262/0001-73
[EDGA11](https://fiibrasil.com/fundo/EDGA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/EDGA11.jpg)</span>",EDGA11,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO GALERIA,15.333.306/0001-37
[EGYR11](https://fiibrasil.com/fundo/EGYR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/EGYR11.jpg)</span>",EGYR11,ENERGY RESORT FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.969.658/0001-53
[ELDO11B](https://fiibrasil.com/fundo/ELDO11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ELDO11-1.jpg)</span>",ELDO11B,FUNDO DE INVESTIMENTO IMOBILIÁRIO ELDORADO,13.022.994/0001-99
[EQIR11](https://fiibrasil.com/fundo/EQIR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/EQIR11.jpg)</span>",EQIR11,EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.380/0001-25
[ERCR11](https://fiibrasil.com/fundo/ERCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ERCR11.jpg)</span>",ERCR11,ESTOQUE RESIDENCIAL E COMERCIAL RIO DE JANEIRO FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.266.902/0001-84
[ERPA11](https://fiibrasil.com/fundo/ERPA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ERPA11.jpg)</span>",ERPA11,EUROPA 105 FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.469.385/0001-64
[ESTQ11](https://fiibrasil.com/fundo/ESTQ11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/ESTQ11.jpg)</span>",ESTQ11,FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO ESTOQUE II,18.497.672/0001-10
[EURO11](https://fiibrasil.com/fundo/EURO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/EURO11.jpg)</span>",EURO11,FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,05.437.916/0001-27
[EVBI11](https://fiibrasil.com/fundo/EVBI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/EVBI11.jpg)</span>",EVBI11,VBI CONSUMO ESSENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.691.520/0001-00
[EXES11](https://fiibrasil.com/fundo/EXES11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/EXES11.jpg)</span>",EXES11,EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.851/0001-03
[FAED11](https://fiibrasil.com/fundo/FAED11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FAED11.jpg)</span>",FAED11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ANHANGUERA EDUCACIONAL,11.179.118/0001-45
[FAGL11](https://fiibrasil.com/fundo/FAGL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FAGL11.jpg)</span>",FAGL11,FATOR RENDA GALPÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.614.033/0001-03
[FAMB11B](https://fiibrasil.com/fundo/FAMB11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FAMB11B.jpg)</span>",FAMB11B,FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO ALMIRANTE BARROSO,05.562.312/0001-02
[FARU11](https://fiibrasil.com/fundo/FARU11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FARU11.jpg)</span>",FARU11,FATOR RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,47.240.652/0001-67
[FATN11](https://fiibrasil.com/fundo/FATN11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FATN11.jpg)</span>",FATN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,30.567.216/0001-02
[FCFL11](https://fiibrasil.com/fundo/FCFL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FCFL11.jpg)</span>",FCFL11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAMPUS FARIA LIMA,11.602.654/0001-01
[FGPM11](https://fiibrasil.com/fundo/FGPM11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FGPM11.jpg)</span>",FGPM11,FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA MALL,23.781.227/0001-17
[FIGS11](https://fiibrasil.com/fundo/FIGS11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FIGS11-GENERAL-SHOPPING-ATIVO-E-RENDA.jpg)</span>",FIGS11,GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.590.518/0001-25
[FIIB11](https://fiibrasil.com/fundo/FIIB11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FIIB11-INDUSTRIAL-DO-BRASIL.jpg)</span>",FIIB11,FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL DO BRASIL,14.217.108/0001-45
[FIIP11B](https://fiibrasil.com/fundo/FIIP11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FIIP11B.jpg)</span>",FIIP11B,RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.696.175/0001-97
[FINF11](https://fiibrasil.com/fundo/FINF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FINF11.jpg)</span>",FINF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE,18.369.510/0001-04
[FISC11](https://fiibrasil.com/fundo/FISC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FISC11.jpg)</span>",FISC11,FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,12.804.013/0001-00
[FISD11](https://fiibrasil.com/fundo/FISD11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FISD11.jpg)</span>",FISD11,SÃO DOMINGOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.543.270/0001-89
[FIVN11](https://fiibrasil.com/fundo/FIVN11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FIVN11.jpg)</span>",FIVN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIDA NOVA,17.854.016/0001-64
[FLCR11](https://fiibrasil.com/fundo/FLCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FLCR11.jpg)</span>",FLCR11,FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I FUNDO DE INVESTIMENTO IMOBILIÁRIO,33.884.145/0001-51
[FLMA11](https://fiibrasil.com/fundo/FLMA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FLMA11-CONTINENTAL-SQUARE-FARIA-LIMA.jpg)</span>",FLMA11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,04.141.645/0001-03
[FLRP11](https://fiibrasil.com/fundo/FLRP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FLRP11.jpg)</span>",FLRP11,FUNDO DE INVESTIMENTO IMOBILIÁRIO FLORIPA SHOPPING,10.375.382/0001-91
[FMOF11](https://fiibrasil.com/fundo/FMOF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FMOF11.jpg)</span>",FMOF11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,01.633.741/0001-72
[FPAB11](https://fiibrasil.com/fundo/FPAB11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FPAB11.jpg)</span>",FPAB11,FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,03.251.720/0001-18
[FPNG11](https://fiibrasil.com/fundo/FPNG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FPNG11.jpg)</span>",FPNG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,17.161.979/0001-82
[FRHY11](https://fiibrasil.com/fundo/FRHY11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FRHY11.jpg)</span>",FRHY11,FRONTEIRA MULTI FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.251.077/0001-11
[FTCE11B](https://fiibrasil.com/fundo/FTCE11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FTCE11B.jpg)</span>",FTCE11B,OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,01.235.622/0001-61
[FVPQ11](https://fiibrasil.com/fundo/FVPQ11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/FVPQ11.jpg)</span>",FVPQ11,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,00.332.266/0001-31
[GALG11](https://fiibrasil.com/fundo/GALG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GALG11-GUARDIAN-LOGISTICA.jpg)</span>",GALG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN LOGÍSTICA,37.295.919/0001-60
[GAME11](https://fiibrasil.com/fundo/GAME11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GAME11-GUARDIAN-MULTIESTRATEGIA-I.jpg)</span>",GAME11,FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN MULTIESTRATÉGIA IMOBILIÁRIA I,41.269.052/0001-45
[GCFF11](https://fiibrasil.com/fundo/GCFF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GCFF11.jpg)</span>",GCFF11,GALAPAGOS FUNDO DE FUNDOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.652.154/0001-42
[GCOI11](https://fiibrasil.com/fundo/GCOI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GCOI11.jpg)</span>",GCOI11,GALAPAGOS SPECIAL OPORTUNITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,46.285.299/0001-79
[GCRI11](https://fiibrasil.com/fundo/GCRI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GCRI11.jpg)</span>",GCRI11,GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.293.897/0001-61
[GESE11B](https://fiibrasil.com/fundo/GESE11B),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GESE11B.jpg)</span>",GESE11B,FUNDO DE INVESTIMETO IMOBILIÁRIO GENERAL SEVERIANO,17.007.528/0001-95
[GGRC11](https://fiibrasil.com/fundo/GGRC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GGRC11-GGR-COPEVI-RENDA.jpg)</span>",GGRC11,GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.614.291/0001-00
[GSFI11](https://fiibrasil.com/fundo/GSFI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GSFI11.jpg)</span>",GSFI11,GENERAL SHOPPING E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.769.604/0001-13
[GTLG11](https://fiibrasil.com/fundo/GTLG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GTLG11.jpg)</span>",GTLG11,GTIS BRAZIL LOGISTICS FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.200.677/0001-10
[GTWR11](https://fiibrasil.com/fundo/GTWR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GTWR11-GREEN-TOWERS.jpg)</span>",GTWR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS,23.740.527/0001-58
[GURB11](https://fiibrasil.com/fundo/GURB11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GURB11.jpg)</span>",GURB11,GENIAL RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.210/0001-00
[GVBI11](https://fiibrasil.com/fundo/GVBI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GVBI11.jpg)</span>",GVBI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI GREENPOWER,49.581.652/0001-56
[GZIT11](https://fiibrasil.com/fundo/GZIT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/GZIT11.jpg)</span>",GZIT11,GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.447.108/0001-02
[HAAA11](https://fiibrasil.com/fundo/HAAA11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HAAA11.jpg)</span>",HAAA11,HEDGE AAA FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.445.482/0001-40
[HABT11](https://fiibrasil.com/fundo/HABT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HABT11-HABITAT-II.jpg)</span>",HABT11,HABITAT RECEBÍVEIS PULVERIZADOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.578.417/0001-05
[HBCR11](https://fiibrasil.com/fundo/HBCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HBCR11.jpg)</span>",HBCR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO HBC RENDA URBANA,36.501.159/0001-37
[HBRH11](https://fiibrasil.com/fundo/HBRH11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HBRH11.jpg)</span>",HBRH11,FUNDO DE INVESTIMENTO IMOBILIÁRIO MULTI RENDA URBANA,30.871.698/0001-81
[HBTT11](https://fiibrasil.com/fundo/HBTT11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HBTT11.jpg)</span>",HBTT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO HABITAT I,26.846.202/0001-42
[HCHG11](https://fiibrasil.com/fundo/HCHG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HCHG11.jpg)</span>",HCHG11,HECTARE RECEBÍVEIS HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.508.959/0001-54
[HCRI11](https://fiibrasil.com/fundo/HCRI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HCRI11.jpg)</span>",HCRI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL DA CRIANÇA,04.066.582/0001-60
[HCST11](https://fiibrasil.com/fundo/HCST11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HCST11.jpg)</span>",HCST11,HECTARE DESENVOLVIMENTO STUDENT HOUSING FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.152.015/0001-07
[HCTR11](https://fiibrasil.com/fundo/HCTR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HCTR11-HECTARE-CE.jpg)</span>",HCTR11,HECTARE CE FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.248.180/0001-96
[HDEL11](https://fiibrasil.com/fundo/HDEL11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HDEL11.jpg)</span>",HDEL11,HEDGE DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO,44.514.162/0001-13
[HDOF11](https://fiibrasil.com/fundo/HDOF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HDOF11.jpg)</span>",HDOF11,HEDGE PALADIN DESIGN OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.688.460/0001-39
[HFOF11](https://fiibrasil.com/fundo/HFOF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HFOF11-HEDGE-TOP-FOFII-3.jpg)</span>",HFOF11,HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.307.582/0001-19
[HGBS11](https://fiibrasil.com/fundo/HGBS11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HGBS11-HEDGE-BRASIL-SHOPPING.jpg)</span>",HGBS11,HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.431.747/0001-06
[HGCR11](https://fiibrasil.com/fundo/HGCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HGCR11-CSHG-RECEBIVEIS-IMOBILIARIOS.jpg)</span>",HGCR11,CSHG RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.160.521/0001-22
[HGFF11](https://fiibrasil.com/fundo/HGFF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HGFF11-CSHG-IMOBILIARIO.jpg)</span>",HGFF11,CSHG IMOBILIÁRIO FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.784.898/0001-22
[HGIC11](https://fiibrasil.com/fundo/HGIC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HGIC11.jpg)</span>",HGIC11,HGI CRÉDITOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.456.508/0001-71
[HGLG11](https://fiibrasil.com/fundo/HGLG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HGLG11-CSHG-Logistica.jpg)</span>",HGLG11,CSHG LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.728.688/0001-47
[HGPO11](https://fiibrasil.com/fundo/HGPO11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HGPO11-CSHG-PRIME-OFFICES.jpg)</span>",HGPO11,CSHG PRIME OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.260.134/0001-68
[HGRE11](https://fiibrasil.com/fundo/HGRE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HGRE11-CSHG-REAL-ESTATE.jpg)</span>",HGRE11,CSHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,09.072.017/0001-29
[HGRS11](https://fiibrasil.com/fundo/HGRS11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HGRS11.jpg)</span>",HGRS11,CSHG RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.922.239/0001-04
[HGRU11](https://fiibrasil.com/fundo/HGRU11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HGRU11-CSHG-RENDA-URBANA.jpg)</span>",HGRU11,CSHG RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.641.226/0001-53
[HILG11](https://fiibrasil.com/fundo/HILG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HILG11.jpg)</span>",HILG11,HIRE LOG I FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.867.728/0001-37
[HLOG11](https://fiibrasil.com/fundo/HLOG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HLOG11.jpg)</span>",HLOG11,HEDGE LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.486.542/0001-72
[HOFC11](https://fiibrasil.com/fundo/HOFC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HOFC11.jpg)</span>",HOFC11,HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.894.369/0001-19
[HOSI11](https://fiibrasil.com/fundo/HOSI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HOSI11.jpg)</span>",HOSI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO HOUSI,34.081.631/0001-02
[HPDP11](https://fiibrasil.com/fundo/HPDP11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HPDP11.jpg)</span>",HPDP11,HEDGE SHOPPING PARQUE DOM PEDRO FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.586.415/0001-73
[HRDF11](https://fiibrasil.com/fundo/HRDF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HRDF11.jpg)</span>",HRDF11,HEDGE REALTY DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.929.519/0001-99
[HREC11](https://fiibrasil.com/fundo/HREC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HREC11.jpg)</span>",HREC11,HEDGE RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.507.262/0001-21
[HSAF11](https://fiibrasil.com/fundo/HSAF11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HSAF11.jpg)</span>",HSAF11,HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.360.687/0001-50
[HSLG11](https://fiibrasil.com/fundo/HSLG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HSLG11-HSI-LOGISTICA.jpg)</span>",HSLG11,HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.903.621/0001-71
[HSML11](https://fiibrasil.com/fundo/HSML11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HSML11-HSI-MALL.jpg)</span>",HSML11,HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.892.018/0001-31
[HSRE11](https://fiibrasil.com/fundo/HSRE11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HSRE11.jpg)</span>",HSRE11,HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.098.114/0001-28
[HTMX11](https://fiibrasil.com/fundo/HTMX11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HTMX11-HOTEL-MAXINVEST.jpg)</span>",HTMX11,FUNDO DE INVESTIMENTO IMOBILIÁRIO HOTEL MAXINVEST,08.706.065/0001-69
[HUCG11](https://fiibrasil.com/fundo/HUCG11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HUCG11.jpg)</span>",HUCG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL UNIMED CAMPINA GRANDE,39.347.413/0001-82
[HUSC11](https://fiibrasil.com/fundo/HUSC11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HUSC11.jpg)</span>",HUSC11,FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL UNIMED SUL CAPIXABA,28.851.767/0001-43
[HUSI11](https://fiibrasil.com/fundo/HUSI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/HUSI11.jpg)</span>",HUSI11,HUSI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.017.492/0001-99
[IBCR11](https://fiibrasil.com/fundo/IBCR11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/IBCR11.jpg)</span>",IBCR11,FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI INTEGRAL BREI,40.011.251/0001-96
[IDFI11](https://fiibrasil.com/fundo/IDFI11),"<span style=""font-size:50px;"">![](https://fiibrasil.com/wp-content/uploads/2023/03/IDFI11.jpg)</span>",IDFI11,FUNDO DE INVESTIMENTO IMOBILIÁRIO DE UNIDADES AUTÔNOMAS,32.774.914/0001-04
